hs6,carbon_intensity
630293,0.000220311430274379
630299,0.000220311430274379
630311,0.000220311430274379
630312,0.000220311430274379
630319,0.000220311430274379
630391,0.000220311430274379
630392,0.000220311430274379
630399,0.000220311430274379
630411,0.000220311430274379
630419,0.000220311430274379
630420,0.000220311430274379
630491,0.000220311430274379
630492,0.000220311430274379
630493,0.000220311430274379
630499,0.000220311430274379
630510,0.000220311430274379
630520,0.000220311430274379
630531,0.000220311430274379
630532,0.000220311430274379
630533,0.000220311430274379
630539,0.000220311430274379
630590,0.000220311430274379
630611,0.000220311430274379
630612,0.000220311430274379
630619,0.000220311430274379
630621,0.000220311430274379
630622,0.000220311430274379
630629,0.000220311430274379
630630,0.000220311430274379
630631,0.000220311430274379
630639,0.000220311430274379
630640,0.000220311430274379
630641,0.000220311430274379
630649,0.000220311430274379
630690,0.000220311430274379
630691,0.000220311430274379
630699,0.000220311430274379
630710,0.000220311430274379
630720,0.000220311430274379
630790,0.000220311430274379
630800,0.000220311430274379
880400,0.000220311430274379
940430,0.000220311430274379
940490,0.000220311430274379
570110,5.89017997549025e-05
570190,5.89017997549025e-05
570210,5.89017997549025e-05
570220,5.89017997549025e-05
570231,5.89017997549025e-05
570232,5.89017997549025e-05
570239,5.89017997549025e-05
570241,5.89017997549025e-05
570242,5.89017997549025e-05
570249,5.89017997549025e-05
570250,5.89017997549025e-05
570251,5.89017997549025e-05
570252,5.89017997549025e-05
570259,5.89017997549025e-05
570291,5.89017997549025e-05
570292,5.89017997549025e-05
570299,5.89017997549025e-05
570310,5.89017997549025e-05
570320,5.89017997549025e-05
570330,5.89017997549025e-05
570390,5.89017997549025e-05
570410,5.89017997549025e-05
570420,5.89017997549025e-05
570490,5.89017997549025e-05
570500,5.89017997549025e-05
560300,0.000247085707028169
560311,0.000247085707028169
560312,0.000247085707028169
560313,0.000247085707028169
560314,0.000247085707028169
560391,0.000247085707028169
560392,0.000247085707028169
560393,0.000247085707028169
560394,0.000247085707028169
440121,2.45790412664464e-07
