buyer,seller_nace4d,year,n_suppliers,total_sales_in_year
DAC48FEFA113C740688511AC63F0914604FEB4CBBCD38EB85E041F905BDC6F23,4673,2012,3,327249.659179688
3DB248094F805E65C4283A5FC5C1A05F1871485D001DB5C92F7E03CD31FDE4BF,4673,2012,9,204409.624389648
279B099807DA8ABBCDC8584C66782FD55ACCBB3D7014860E516C9D07478209D1,4673,2012,1,441.290008544922
035CBC50BAA9F51750D5267F66949E7C978592125DF630D7C4C9159BB0F9A4BF,4673,2012,1,313.779998779297
26322413EBFF195CDAE47DB45BA0D08A1E1E9F3EA1BA87D3EC2D6E4E65D7AFC1,4673,2012,1,258.179992675781
D24CFD4E4D07CA02994732D641C177D71F3ABA14D8EBD52CB9EAC7C559942972,4673,2012,6,175015.758789063
E4DA9495707D565900C29277A0D9B92293A5FEEFE6E3D01C4A9EA386D93493B5,4673,2012,6,94822.4926147461
03C2F8EBEFFAC11E770D85E82485F76642EA0BF2914C018154D0A369C7BF7FAF,4673,2012,2,1405.54998779297
88CD788580104FB68FCE0A0F0583F443D53678EA60679DB3D1917FB9E936363D,4673,2012,2,9686.42993164062
B0BDF350FA217BFD724FDDC946398CA461035D6B82CEBC98DD1973C4C264A7E6,4673,2012,3,9779.5
E16FA02E243142ED11A22F5D561E0AECA375E8FA5AB686991FF2CFF247D80139,4673,2012,3,5703.56002807617
A286C01ABA1C19F9EEE2076F74A3FE2CD112145B62E4162F6D47F3D17FC0AF92,4673,2012,6,176661.262451172
738A9FB92FD796563209FB033DEE18DBBD40C9475DCEA5E5B8490C0BD6B6351D,4673,2012,3,4371.79995727539
30F55EC464B5993FE3A30E9CC91F7CA4A0C167800E1705292A9664D61C8A4E5C,4673,2012,1,2366.1201171875
90C9F81CB0FB2D133BA847C194412061657E084F532F0B819156925A48CCEDE4,4673,2012,2,2906.35003662109
927EB246F9B0DB0EE7D312DB9FF3F0A6C5D959533C92414F8F31B2E889EBFFCA,4673,2012,1,356.109985351563
66DCC51088434215A5B77586058D15FA171B4085525EFAABF47D62B9C9ADE3CF,4673,2012,12,636830.438354492
16F5C33D722C8396DEEAA73210AA5D428A395EB3621DB81F91EB3C9579FB8B4A,4673,2012,1,358.369995117188
D120A82A4B565FE2AE9CB4CE0495E4181E8F058F986F9BAC9CB49D75B4D4AB57,4673,2013,3,4931.33
AABDEE5BC7229D7742B138B8153296792950B948744424057C583A70A6996D7C,4673,2013,3,281693.82
96BFA5EE90814CBD5C0D8579EF0756BF1C811AF96B52A9B6B50748AC8C9EFEC0,4673,2013,8,46280.65
C49E201600E431B8C579817E8AE9DA71DC56031066A5DBCA7BF5D3219E55339B,4673,2013,5,63195.66
A20718A1C5EDE23DDA5E6320129C83E1683DE48F1D318858856BE325EEE823C1,4673,2013,7,68561.82
AC39CBDCB2B6C4C1B33A024C914A1FA4320ECFABDC086E62806BF5B914C14267,4673,2013,8,205125.66
26447DF141F5D46256F23A2E3F92F38974CB73D026F90B39B34FFF5CE64E1359,4673,2013,9,499191.09
F30E60828DC1B328C8766A07FA03A81E0E21B5D3F5DA1768FE350E6B22B31B97,4673,2013,8,83539.63
46D183E20EB46E32E4CA625B71B4AD97522F4ACDE3BAF8579ACF464F98087B8E,4673,2013,5,5468.59
8D77A015524F01D004DB52EE065746D3502EA5E855F2D16133BE66F708368698,4673,2013,5,86930.82
BE2465281437D52ED7C2FFB25E1C75F190704B6C37112F9394FB38DD0B54DA5F,4673,2013,6,143806.95
4BB7D92E0635954FA4879107C4ECFB0EDB1C1AA90DFA446E26A6CB82B571B592,4673,2013,1,2688.04
9A223F33887F80EE1616E19052D7175A6FD49BAA5085C9F873C92F25A624BE41,4673,2013,2,10047.29
787A33BD6A5A8E3F133A25F3E3A7CC2F27EA07C93809C6C1D3C54867365C0BEE,4673,2013,1,6686.4
C14BB26E265D634D8598A24F8F2491643FAB6F115715D55808023456839F95D8,4673,2013,10,118158.45
F0619E90D2062599EBAD5E6E73AF00C0FC599557FFB826386375CF94D5A82173,4673,2013,1,757.26
93B61565E6A0F172D1AFF97F1B3EEA820D4D63F78B96802EEC8AF457E4DCA6F8,4673,2013,3,17029.76
DAC48FEFA113C740688511AC63F0914604FEB4CBBCD38EB85E041F905BDC6F23,4673,2013,4,323145.95
88BCE1F88AC9BF058358C425350141A6CFECA8197DD3E9B5EBF30C185D879D3B,4673,2013,5,98140.82
1D699DC306BB8851F3FCC223F2508A68F5BAD44F84D30DBC4ADD6202F0BF7E13,4673,2013,4,33195.42
3DB248094F805E65C4283A5FC5C1A05F1871485D001DB5C92F7E03CD31FDE4BF,4673,2013,9,307870.49
1E49FAF45ECE2DA8F61D1DC6E8AF6E58B93454A899CDAB101C92A9698DB230F4,4673,2013,1,253.03
26322413EBFF195CDAE47DB45BA0D08A1E1E9F3EA1BA87D3EC2D6E4E65D7AFC1,4673,2013,5,68102.12
B2D41D2F009AF48CCAF426F737894F82A0D14F6A12224540ECAF1F7712F85175,4673,2013,1,559.67
D24CFD4E4D07CA02994732D641C177D71F3ABA14D8EBD52CB9EAC7C559942972,4673,2013,6,136373.86
08701F544A87F2EA631D4E1FEB93B84EDB43BA36EE1A384294B305ED846EFA66,4673,2013,2,1480.55
03C2F8EBEFFAC11E770D85E82485F76642EA0BF2914C018154D0A369C7BF7FAF,4673,2013,5,16588.55
4AD058558FB153865A70374ECD65BF73C81C8F32472F2584D475EBA4F49442F0,4673,2013,8,1223031.73
90C9F81CB0FB2D133BA847C194412061657E084F532F0B819156925A48CCEDE4,4673,2013,2,9461.95
72D8E591463462490A541E91194478BD9DE7D9288FFA374691531E86E6295770,4673,2013,3,68062.89
816D959E3B13F5BB2A8E380012AFF472FB512CB583C11B8725D3FC1FFCC30337,4673,2013,1,1049.31
66DCC51088434215A5B77586058D15FA171B4085525EFAABF47D62B9C9ADE3CF,4673,2013,12,835228.41
AABDEE5BC7229D7742B138B8153296792950B948744424057C583A70A6996D7C,4673,2014,5,312902.735992432
258F5988E3F80F9BF6778DB7E1DC36E33A99B8DBBACA10D1431ACAFDD5AEDD70,4673,2014,4,15673.9096069336
A20718A1C5EDE23DDA5E6320129C83E1683DE48F1D318858856BE325EEE823C1,4673,2014,7,52280.890411377
AC39CBDCB2B6C4C1B33A024C914A1FA4320ECFABDC086E62806BF5B914C14267,4673,2014,9,230113.333679199
D82FCA5EB77F34BBE9ECE5724738742F9A62D9FF275E1F76824004CA3EAE2729,4673,2014,6,3104590.0032959
26447DF141F5D46256F23A2E3F92F38974CB73D026F90B39B34FFF5CE64E1359,4673,2014,8,375388.103515625
46D183E20EB46E32E4CA625B71B4AD97522F4ACDE3BAF8579ACF464F98087B8E,4673,2014,3,3537.419921875
BE2465281437D52ED7C2FFB25E1C75F190704B6C37112F9394FB38DD0B54DA5F,4673,2014,5,308074.770996094
9A223F33887F80EE1616E19052D7175A6FD49BAA5085C9F873C92F25A624BE41,4673,2014,2,9923.82977294922
787A33BD6A5A8E3F133A25F3E3A7CC2F27EA07C93809C6C1D3C54867365C0BEE,4673,2014,1,2886.4599609375
C14BB26E265D634D8598A24F8F2491643FAB6F115715D55808023456839F95D8,4673,2014,8,103598.302642822
F0619E90D2062599EBAD5E6E73AF00C0FC599557FFB826386375CF94D5A82173,4673,2014,2,2245.92004394531
93B61565E6A0F172D1AFF97F1B3EEA820D4D63F78B96802EEC8AF457E4DCA6F8,4673,2014,3,35092.0308837891
E73499FBECC0CB6673265DCBB14DB6C443A7EF3C84F99944FBE276F01196804E,4673,2014,4,17072.130065918
DAC48FEFA113C740688511AC63F0914604FEB4CBBCD38EB85E041F905BDC6F23,4673,2014,3,434336.77734375
1D699DC306BB8851F3FCC223F2508A68F5BAD44F84D30DBC4ADD6202F0BF7E13,4673,2014,4,42210.5103149414
3DB248094F805E65C4283A5FC5C1A05F1871485D001DB5C92F7E03CD31FDE4BF,4673,2014,12,235194.416320801
197D776E18FD3165D95A0950845DFD0C9F6974D4CFAB0D2D0837001C140F364C,4673,2014,2,1825.15005493164
1CB37AB74478F9C217EFCFDA2843A640F506101BDE944EFD19E87241396C4A1C,4673,2014,2,2605.06991577148
B2D41D2F009AF48CCAF426F737894F82A0D14F6A12224540ECAF1F7712F85175,4673,2014,1,1709.5400390625
0B839A14E6190190E37B27ADFA66BD80E9DFC9B009364F4FB8C924FC7CD185BA,4673,2014,4,216089.635620117
03C2F8EBEFFAC11E770D85E82485F76642EA0BF2914C018154D0A369C7BF7FAF,4673,2014,4,6317.66006469727
5F38654B8D559290F7091D877D2F5AB22BBD287F5C18610884DFAD6648159F90,4673,2014,2,2700
E4104AB6EDEF24D89D330F0F87BFEA02856667139BB3FF783823835C3B43ABA4,4673,2014,8,444176.719604492
E16FA02E243142ED11A22F5D561E0AECA375E8FA5AB686991FF2CFF247D80139,4673,2014,3,4072.78009033203
A286C01ABA1C19F9EEE2076F74A3FE2CD112145B62E4162F6D47F3D17FC0AF92,4673,2014,6,1716586.20922852
FF187257819E01D691EAE4C5E3B62B39E0EDA7887226B0329EC42EF3C4BF57F1,4673,2014,2,3021.96997070313
30F55EC464B5993FE3A30E9CC91F7CA4A0C167800E1705292A9664D61C8A4E5C,4673,2014,3,2890.80001831055
176DF2E49029AEFF2D4AA059598518F55A2AF7FFEEBBF2FF6145AD6F7D0BB599,4673,2014,3,9816.669921875
4AD058558FB153865A70374ECD65BF73C81C8F32472F2584D475EBA4F49442F0,4673,2014,6,979689.339477539
EE1CC683DC430F9FD34068CC8A9EB02D8B711844ECEB463B526854EAFD885B6D,4673,2014,1,1749.28002929688
77B9E2CABBED1D85F2C2A07E72D1121B4812CC371C87FEB0B7C17960F592C907,4673,2014,1,2206.830078125
258009F7C300E61562C4FA217207BCC61F7B42A15351A078CF426AFDC3E6EF55,4673,2014,1,361.720001220703
72D8E591463462490A541E91194478BD9DE7D9288FFA374691531E86E6295770,4673,2014,3,343046.4609375
66DCC51088434215A5B77586058D15FA171B4085525EFAABF47D62B9C9ADE3CF,4673,2014,13,447335.188110352
75D26D07FA3A26035EFD360533B22C54101FD43F1DC9335A5C4DA7D0CBBFC87E,4673,2014,1,637.630004882813
