buyer,top_supplier,version,seller_nace4d,omega,num_spend,sum_buyer_tc,n_yr_tc,x_buyertotal,shock_buyertotal
25CE8A50D359841FDD4DC7531B3562F57BB43B3ADBE436B67EB54FC4132C8DAB,52CC2CBF9E3CAAF0F57404F3B203CA71D00EDB7723E195AE8A8947ADA5C06C9A,treat_2008,4211,0.000432901544261535,1341.91003417969,59357155,2,2.26073846393023e-05,9.78677172206848e-09
2610A04A7FF72DF68C8380733152E8CC08CA56FF7E43A6D7820C9BCA404A6BC8,7C45D5C36EEA033EE8C487408E9428CBEC67A338A6F94919C4AF35C8C8405829,treat_2008,1320,3.84489142781168e-08,8662.599609375,11747789,2,0.000737381273137865,2.83515093611664e-11
27BD6B403A6000BF78DBC9A09E4644A0F5B4CC32DA11FE82AD6E99FAF0DF44A5,DAEA45B1C32A96BEF3B14822D96C2FE56C613857921FE02B9603218C0CB7CEF2,treat_2008,2229,1.06124295585041e-06,8289.490234375,1476238585,2,5.61527812550368e-06,5.95917435583167e-12
2933865DD9EA5D872D4DB5CE3EFA88841232CF514E5C7067BECE0A367B705212,AFCA27A1F1BB2F7C605C4B1753142D734EB685C1A44B33B33D43D3893BB18C10,treat_2008,2014,3.93079763820856e-05,705681.8125,131163232,2,0.00538018011404294,2.11483992854166e-07
29ED4EDA06C6CA3EB237686CBD7B620DD2B42A15418C3B14A3D1346BFC9A43EF,DFE84999859FA7A6205AF0220585AD1C09A9628C9E358622CBCEA2E6DACBBBF1,treat_2008,4673,0.000142952612818147,1682.09997558594,24075721,2,6.98670654800302e-05,9.98767956030688e-09
2DEA0A85019750F6DE07A74AD80829C0FF1923D16B120445436C744CFE479443,3BE59C35E1BFCEE14744A27D1026D2E8F5690AEFBA6276A6EFADA053A2D4F534,treat_2008,3511,0.000229158205560246,917705.25,331596665,1,0.00276753461920372,6.34203267162584e-07
2EA5AB1710B2C07A0559C4D607230AEE3A896C7A33156792015D2C79268E4D7A,E30B927536F61331175A68BC7A08D889C65901DBE6824FE8ED84680AF71FAB48,treat_2008,1051,6.54164203332758e-06,271960.27734375,259557615,2,0.00104778385077914,6.85422688009867e-09
32424075741922469453FAD31C3E5A3FC8FB96E6E14ACF83BA40B2F0B4770F80,DAEA45B1C32A96BEF3B14822D96C2FE56C613857921FE02B9603218C0CB7CEF2,treat_2008,2229,1.06124295585041e-06,780.419982910156,373769872,2,2.08796920611663e-06,2.21584261202385e-12
381129D2BACBFFE88AA47CF43AAB8B0205C90F8E3B8F55424F7421B3BB765AE7,AFCA27A1F1BB2F7C605C4B1753142D734EB685C1A44B33B33D43D3893BB18C10,treat_2008,2014,3.93079763820856e-05,5558.22009277344,401463227,2,1.38449046362432e-05,5.44215184453673e-10
3A03EF07D82B182A1644571A8F7DD0169ABFDAFFE08229F4B374E108DF0EFE30,E30B927536F61331175A68BC7A08D889C65901DBE6824FE8ED84680AF71FAB48,treat_2008,1051,6.54164203332758e-06,775054.875,612596398,2,0.0012651965919656,8.27646320642495e-09
3BE59C35E1BFCEE14744A27D1026D2E8F5690AEFBA6276A6EFADA053A2D4F534,CC65917C7CF2644290617174C31B7E8C05CA4EEDE602B3AA5F2FD2587CA1468C,treat_2008,2014,0.000148570594989111,1494797.875,44552718394,2,3.35512159276303e-05,4.98472411297617e-09
3BE59C35E1BFCEE14744A27D1026D2E8F5690AEFBA6276A6EFADA053A2D4F534,EE1CC683DC430F9FD34068CC8A9EB02D8B711844ECEB463B526854EAFD885B6D,treat_2008,1712,7.97125244171911e-05,1429569,44552718394,2,3.20871329860878e-05,2.55774637163119e-09
3C2FF786CB14EE5DD5BBB4F942014CDBFD831EA6F74B20DE240BE1963FCE60A5,1EB11C8C03D563589A1E83AF2856341DABF421EDF816A205EC6A0E9C90EACF10,treat_2008,2351,3.82449630403523e-05,1363218.125,25136277,2,0.0542330960547578,2.07414275417809e-06
3C2FF786CB14EE5DD5BBB4F942014CDBFD831EA6F74B20DE240BE1963FCE60A5,DFE84999859FA7A6205AF0220585AD1C09A9628C9E358622CBCEA2E6DACBBBF1,treat_2008,4673,0.000142952612818147,80098.5390625,25136277,2,0.00318657130737778,4.55528694320992e-07
3D49588D1918DFA4568937AEB2822B4167C073A07CB931AAE68628147C44CAE7,1EB11C8C03D563589A1E83AF2856341DABF421EDF816A205EC6A0E9C90EACF10,treat_2008,2351,3.82449630403523e-05,5963255,101090641,2,0.0589891897114393,2.25603938029433e-06
3DB248094F805E65C4283A5FC5C1A05F1871485D001DB5C92F7E03CD31FDE4BF,5F38654B8D559290F7091D877D2F5AB22BBD287F5C18610884DFAD6648159F90,treat_2008,2314,1.93483990171189e-05,2462.13989257813,118232726,2,2.08245210600839e-05,4.02921142810899e-10
3DB248094F805E65C4283A5FC5C1A05F1871485D001DB5C92F7E03CD31FDE4BF,DFE84999859FA7A6205AF0220585AD1C09A9628C9E358622CBCEA2E6DACBBBF1,treat_2008,4673,0.000142952612818147,733782.34375,118232726,2,0.00620625412755856,8.87200243347905e-07
3E7EC3F44CC6C0E77C3870BA9BCC07AC0F1C1E579735E0C3C42869F9786AE9D6,1CA094B752178A00D0DAB81D2B57AF833D16221A5E9AC38167100BC586216614,treat_2008,1393,2.18514836381663e-08,23468.41015625,16328555,2,0.00143726191057629,3.14063051227174e-11
4356F4371918FF48677CBB0AAB6CE5008DCB4777B1C38E7C8312F85C5B0BB282,F528BEC475BD1E0F79259B2E943C62A8B2D1382032F6DDF19F90EDF27B4E278A,treat_2008,2352,3.47441270450376e-05,138997.163818359,128627546,2,0.00108061739604641,3.75451080953141e-08
463E5CEFB73FAC0CF0C59FBF27DA421A50889167A31F6A0BDEF3564440AE9E91,52CC2CBF9E3CAAF0F57404F3B203CA71D00EDB7723E195AE8A8947ADA5C06C9A,treat_2008,4211,0.000432901544261535,12118.8701171875,175766983,2,6.89485016488421e-05,2.98479128383027e-08
494441FB26A91DD14C6FB7489525F45A99D4C9B06693ECA2491D88899BD6C561,3BE59C35E1BFCEE14744A27D1026D2E8F5690AEFBA6276A6EFADA053A2D4F534,treat_2008,3511,0.000229158205560246,1175223.25,453607648,2,0.0025908364975363,5.93711442675412e-07
4A8A8E4BA992585257373408652BE44B064AEC522E711A3BAAF2C11B601C1D95,DFE84999859FA7A6205AF0220585AD1C09A9628C9E358622CBCEA2E6DACBBBF1,treat_2008,4673,0.000142952612818147,6750.67016601563,34705115,2,0.000194515136054602,2.78064469316828e-08
4AD058558FB153865A70374ECD65BF73C81C8F32472F2584D475EBA4F49442F0,1EB11C8C03D563589A1E83AF2856341DABF421EDF816A205EC6A0E9C90EACF10,treat_2008,2351,3.82449630403523e-05,1218.18005371094,38868532,2,3.13410358207235e-05,1.19863675660993e-09
4AD058558FB153865A70374ECD65BF73C81C8F32472F2584D475EBA4F49442F0,DFE84999859FA7A6205AF0220585AD1C09A9628C9E358622CBCEA2E6DACBBBF1,treat_2008,4673,0.000142952612818147,131449.109375,38868532,2,0.00338189024928958,4.8345004740016e-07
4C4AFA11F7CFB164582811756F70B0C08F76AA402E3112B966D24AEC0EF417AD,DAEA45B1C32A96BEF3B14822D96C2FE56C613857921FE02B9603218C0CB7CEF2,treat_2008,2229,1.06124295585041e-06,79007.15625,2245448323,2,3.51854707323852e-05,3.73403329630246e-11
4CE683198D1988956A9467C38F7C31A77267B4563430CEF1229B83E2C35DCB2E,3BE59C35E1BFCEE14744A27D1026D2E8F5690AEFBA6276A6EFADA053A2D4F534,treat_2008,3511,0.000229158205560246,5409447.78125,477278994,2,0.0113339322477075,2.59726357582606e-06
4CE986E3C17025E534F129CF9762E7FCBB21BEF1D57CBC96C809546A86C643FF,1CB37AB74478F9C217EFCFDA2843A640F506101BDE944EFD19E87241396C4A1C,treat_2008,1107,3.1407618166918e-07,21534.3798828125,105525058,2,0.000204068875117913,6.40931730945588e-11
4F041995909348A972258A49F0EA4DD0F1AEE47DA660396688699BE3C5B383F6,1EB11C8C03D563589A1E83AF2856341DABF421EDF816A205EC6A0E9C90EACF10,treat_2008,2351,3.82449630403523e-05,2209,1213686615,2,1.82007445142666e-06,6.96086801255019e-11
52B1C2E21C26CA36EBDBE57AD04719B3655CAA2C95F9A8BBD9501644C81735FB,93E844FE1AC70363ACC25C875A81A3C2EE7ED2364EA24705F5D877FBB5C4CEE8,treat_2008,1041,2.89286490879049e-06,2511406,398239894,2,0.00630626423378869,1.82431705074879e-08
53401140978EF2A6EBC4A8AFEDF11D155ECB6B0B57D08C0C36B5973DC3D6C615,8E3D3FC7191560A9E4D5B211FC45FE512AA082410BBB6BCCBDAA72758D07EDDA,treat_2008,2120,1.44762901319485e-06,6766.89990234375,208536645,2,3.24494522406062e-05,4.69747685257822e-11
539DFF8A5B778AB035491D14825C7B39DA46F67FAB72F13B77AEF41EB8525850,82AD7E022AA1035FA624569E4235B7E60665602F69F48D196D6E577AB3B2F821,treat_2008,1105,3.86397618937294e-05,1025576.75,100144654,2,0.0102409535510503,3.95708006777325e-07
