interval,seller_nace4d,n_cells,mean_n_supp,p10_n_supp,p25_n_supp,median_n_supp,p75_n_supp,p90_n_supp,p99_n_supp,max_n_supp,share_eq_1,share_eq_2,share_3_to_5,share_6_to_10,share_ge_11,share_ge_2
interval_2011_12,1107,335,1.03582089552239,1,1,1,1,1,2,3,0.967164179104478,0.0298507462686567,0.00298507462686567,0,0,0.0328358208955224
interval_2011_12,3320,320,1.36875,1,1,1,2,2,3,4,0.7125,0.215625,0.071875,0,0,0.2875
interval_2011_12,4671,249,1.2570281124498,1,1,1,1,2,4,5,0.807228915662651,0.14859437751004,0.0441767068273092,0,0,0.192771084337349
interval_2011_12,3821,225,1.05777777777778,1,1,1,1,1,2,3,0.951111111111111,0.04,0.00888888888888889,0,0,0.0488888888888889
interval_2011_12,4511,217,1.25345622119816,1,1,1,1,2,3,7,0.820276497695853,0.133640552995392,0.0414746543778802,0.00460829493087558,0,0.179723502304147
interval_2011_12,2059,190,1.18421052631579,1,1,1,1,2,3.10999999999999,4,0.857894736842105,0.110526315789474,0.0315789473684211,0,0,0.142105263157895
interval_2011_12,4211,184,1.92391304347826,1,1,1,2,4,10,11,0.66304347826087,0.141304347826087,0.141304347826087,0.0489130434782609,0.00543478260869565,0.33695652173913
interval_2011_12,3511,170,1.05882352941176,1,1,1,1,1,2,3,0.947058823529412,0.0470588235294118,0.00588235294117647,0,0,0.0529411764705882
interval_2011_12,2352,155,1.34838709677419,1,1,1,2,2,3,3,0.729032258064516,0.193548387096774,0.0774193548387097,0,0,0.270967741935484
interval_2011_12,3312,151,1.18543046357616,1,1,1,1,2,3,3,0.841059602649007,0.132450331125828,0.0264900662251656,0,0,0.158940397350993
interval_2011_12,4646,147,1.40816326530612,1,1,1,1,2,6,8,0.768707482993197,0.149659863945578,0.0612244897959184,0.0204081632653061,0,0.231292517006803
interval_2011_12,3311,136,1.19117647058824,1,1,1,1,2,2,2,0.808823529411765,0.191176470588235,0,0,0,0.191176470588235
interval_2011_12,2561,115,1.12173913043478,1,1,1,1,2,2,3,0.886956521739131,0.104347826086957,0.00869565217391304,0,0,0.11304347826087
interval_2011_12,2530,106,1.13207547169811,1,1,1,1,2,2,2,0.867924528301887,0.132075471698113,0,0,0,0.132075471698113
interval_2011_12,4322,105,1.0952380952381,1,1,1,1,1,2,2,0.904761904761905,0.0952380952380952,0,0,0,0.0952380952380952
interval_2011_12,2351,103,1.63106796116505,1,1,1,2,3,4,4,0.553398058252427,0.300970873786408,0.145631067961165,0,0,0.446601941747573
interval_2011_12,4950,102,1.01960784313725,1,1,1,1,1,1.99,2,0.980392156862745,0.0196078431372549,0,0,0,0.0196078431372549
interval_2011_12,2221,101,1.12871287128713,1,1,1,1,2,2,4,0.891089108910891,0.099009900990099,0.0099009900990099,0,0,0.108910891089109
interval_2011_12,7010,99,1.02020202020202,1,1,1,1,1,2,2,0.97979797979798,0.0202020202020202,0,0,0,0.0202020202020202
interval_2011_12,2015,96,1.17708333333333,1,1,1,1,2,2.05,3,0.833333333333333,0.15625,0.0104166666666667,0,0,0.166666666666667
interval_2011_12,1105,94,1.5,1,1,1,1,3,6,6,0.808510638297872,0.074468085106383,0.0957446808510638,0.0212765957446809,0,0.191489361702128
interval_2011_12,2365,79,1.29113924050633,1,1,1,1,2,3,3,0.784810126582278,0.139240506329114,0.0759493670886076,0,0,0.215189873417722
interval_2011_12,2830,75,1.02666666666667,1,1,1,1,1,2,2,0.973333333333333,0.0266666666666667,0,0,0,0.0266666666666667
interval_2011_12,2229,74,1.10810810810811,1,1,1,1,1,2.27,3,0.905405405405405,0.0810810810810811,0.0135135135135135,0,0,0.0945945945945946
interval_2011_12,1621,74,1.54054054054054,1,1,1,2,3,3.27,4,0.635135135135135,0.202702702702703,0.162162162162162,0,0,0.364864864864865
interval_2011_12,2910,70,1.11428571428571,1,1,1,1,2,2,2,0.885714285714286,0.114285714285714,0,0,0,0.114285714285714
interval_2011_12,1062,69,1.53623188405797,1,1,1,2,3,4,4,0.63768115942029,0.231884057971015,0.130434782608696,0,0,0.36231884057971
interval_2011_12,2016,67,1.25373134328358,1,1,1,1,2,3,3,0.776119402985075,0.194029850746269,0.0298507462686567,0,0,0.223880597014925
interval_2011_12,2012,67,1.43283582089552,1,1,1,2,2.4,3,3,0.671641791044776,0.223880597014925,0.104477611940299,0,0,0.328358208955224
interval_2011_12,2399,62,1.53225806451613,1,1,1,2,3,4.39,5,0.693548387096774,0.161290322580645,0.145161290322581,0,0,0.306451612903226
interval_2011_12,2332,61,2.22950819672131,1,1,1,2,6,8.4,9,0.59016393442623,0.180327868852459,0.114754098360656,0.114754098360656,0,0.409836065573771
interval_2011_12,7112,60,1.1,1,1,1,1,1,2.41,3,0.916666666666667,0.0666666666666667,0.0166666666666667,0,0,0.0833333333333333
interval_2011_12,1041,60,1.28333333333333,1,1,1,1,2,3.41,4,0.8,0.133333333333333,0.0666666666666667,0,0,0.2
