buyer,seller_nace4d,top_supplier,omega_top,bot_supplier,omega_bot,omega_gap,int_nace4d_spend,sum_buyer_tc,n_yr,nace4d_input_share,version,treat_year,topQ_nace4dshare,topQ_omegagap
C2DF2CAC420FA214C90BABB3B2B58056B210608D3E7DADB50C6A7E5EF5B8E480,2059,4C4AFA11F7CFB164582811756F70B0C08F76AA402E3112B966D24AEC0EF417AD,2.17442134768675e-05,C827BD5F1E9CF3652F0345C53157CF7ED590F253B122BE5B7FA16D382C516C16,0,2.17442134768675e-05,25004,508621701,2,4.91603090289693e-05,treat_2017,2017,FALSE,FALSE
C49E201600E431B8C579817E8AE9DA71DC56031066A5DBCA7BF5D3219E55339B,2351,B8FDF1A99C14812F711B9B01A2C27EC7B85C6A71A20AB98121F00747A42E5B58,0.000103038803811996,1EB11C8C03D563589A1E83AF2856341DABF421EDF816A205EC6A0E9C90EACF10,0,0.000103038803811996,18752.13,23725656,2,0.000790373509588102,treat_2017,2017,FALSE,FALSE
C49E201600E431B8C579817E8AE9DA71DC56031066A5DBCA7BF5D3219E55339B,2399,A44C7B695F2DAA9C1AF259527E3B73F5483420A4B1CB0C2E493C045EE27F601E,0.000164410286727756,50718D79C9F77E6F3F5941DA8BA2BF27DC3B371AEC3069E4679E58F20D84E7ED,0,0.000164410286727756,17379.88,23725656,2,0.000732535277422888,treat_2017,2017,FALSE,FALSE
C49E201600E431B8C579817E8AE9DA71DC56031066A5DBCA7BF5D3219E55339B,4211,A20718A1C5EDE23DDA5E6320129C83E1683DE48F1D318858856BE325EEE823C1,5.55692076673613e-05,3510A430452C918C14D6E932C3833C048E677B0205DAE7EB348ECB0F5DCF40E3,0,5.55692076673613e-05,26774.27,23725656,2,0.00112849440285234,treat_2017,2017,FALSE,FALSE
C4F606904026E86DAACB847D0D96B50C0ECFC7B858E2B2509602AD8DA11C474E,2221,BC0BF2E7511DBB53DBD56839C96E212762845418F6BCF4F0B57D20FEA25A2188,1.4360832054686e-05,E29DDAE66C4819F3635FFEDF2D15CF461305B17995BCFF4D1AC9E143F8CADE59,0,1.4360832054686e-05,175811.74,90200598,2,0.00194911945040542,treat_2017,2017,FALSE,FALSE
C522CB559EF15B2141FEF4CCD47F8B73E5CEE241C540E487B399950470501487,5223,6AA8E4141A63E20F297FD4A50D200299ABED45FB3AEB28BC62C3D7D60C2E7642,1.6367246385248e-05,B6F8B15A34CFB540C2417A6DC36A53425CEC90C412B5E9E7CE7A20390C171E33,0,1.6367246385248e-05,411866.74,64517342,2,0.00638381444790457,treat_2017,2017,FALSE,FALSE
C682A2B22B1037A2795CD18544B9972548F80593CFC2EAA4A19AF83F4AD35AA8,2012,1061796C42F184760E3BAF45DC443875C42284348C2B209B70F02ED964EDAC7E,0.00016263646894484,969A182C1332AA7D3B3673679AC4454478A1AAEA9E50C82A755CB81680A4E9DC,0,0.00016263646894484,45672,3079755.25,2,0.0148297498640517,treat_2017,2017,FALSE,FALSE
C783027837319E3C8845706B064F581E7067FCAF72473EE7FB02BA67E08AA8CC,1393,D7E5CDFAAACF0B7F90CD7FBB7F8126EB1255FF5547B0834A227723386F131B08,0.000148685155751804,C783027837319E3C8845706B064F581E7067FCAF72473EE7FB02BA67E08AA8CC,0,0.000148685155751804,15796766.11,402473887,2,0.0392491702449257,treat_2017,2017,TRUE,FALSE
C783027837319E3C8845706B064F581E7067FCAF72473EE7FB02BA67E08AA8CC,2012,1061796C42F184760E3BAF45DC443875C42284348C2B209B70F02ED964EDAC7E,0.00016263646894484,969A182C1332AA7D3B3673679AC4454478A1AAEA9E50C82A755CB81680A4E9DC,0,0.00016263646894484,768620,402473887,2,0.00190973880499233,treat_2017,2017,FALSE,FALSE
C783027837319E3C8845706B064F581E7067FCAF72473EE7FB02BA67E08AA8CC,4676,3681204F7810467B3431212FC23F07FEB4DC809C1A445CC9BF393FFD63CAB006,7.77079476005881e-06,C5BA3CF0046CD26F50C12FDB281749C30CE5CA01E34405D8D4DAAB3426C1F6C6,0,7.77079476005881e-06,15978664.99,402473887,2,0.0397011222494542,treat_2017,2017,TRUE,FALSE
C827BD5F1E9CF3652F0345C53157CF7ED590F253B122BE5B7FA16D382C516C16,2014,2A70DBCD110EDD6E2E83D454D79E47D9BA81845955CFE8E1E03BF1D0EA7BCBC5,3.90209640781755e-05,AA87309A737CBB71FCAA97B6666221C793EEB9AAA338E4C5DC338835324DBB38,0,3.90209640781755e-05,1051429.82,66106154,2,0.0159051730645229,treat_2017,2017,FALSE,FALSE
C82F3CEC2AC49AA2DB2FB3B3F6F2B60CAAB613E7D60BD4DE501631644C9A5A11,2014,2A70DBCD110EDD6E2E83D454D79E47D9BA81845955CFE8E1E03BF1D0EA7BCBC5,3.90209640781755e-05,AFCA27A1F1BB2F7C605C4B1753142D734EB685C1A44B33B33D43D3893BB18C10,0,3.90209640781755e-05,42880962.14,494027270,2,0.0867987755817609,treat_2017,2017,TRUE,FALSE
C9210078CEE580FDD0812518371FC8B5E11A493EF54D24394419069892A286C3,2014,2A70DBCD110EDD6E2E83D454D79E47D9BA81845955CFE8E1E03BF1D0EA7BCBC5,3.90209640781755e-05,61CE1E059D5C7F1EFB93A2EBFCF5C1706E402C91F3EC2954C003784C58232EDD,0,3.90209640781755e-05,99394.59,309070120,2,0.000321592362276884,treat_2017,2017,FALSE,FALSE
C9210078CEE580FDD0812518371FC8B5E11A493EF54D24394419069892A286C3,2352,233C29FA2E67D9E99661CF7ABDF39D6AC6BAEC0D61A8BF7ACA5B2A341DB24E7D,0.00126345506798275,13F626FCEEB1FD59AD5B43240916375573AC6AB3BA3E06035D546F6114C3CDD5,0.000486627052877571,0.000776828015105174,1901862.05,309070120,2,0.00615349697990864,treat_2017,2017,FALSE,TRUE
C9210078CEE580FDD0812518371FC8B5E11A493EF54D24394419069892A286C3,4211,ADFF18A56167B77F87D8DF548BEF8C5F4AD4A774572E8E8D206E19659C2B9246,3.13552464943978e-05,D2E36629C57DE7C3DE50105733271BC0699A14DC45E956E39883988835BB92F2,0,3.13552464943978e-05,77324.69,309070120,2,0.000250184941850736,treat_2017,2017,FALSE,FALSE
CA0C911B1A1F75C058342897D52EE9DDCCCD1907FD39F8425E09C607AA918392,1320,1007FAAA2B750FA61EAA1A2916ADE0B4D155B036D9BBC63C2A9022FB9AFC4A15,3.61915015658306e-06,CF7DA54A2F5395AFC836CC1EAA35068820907CE5CD0E61F6C747FEB86128AFE2,0,3.61915015658306e-06,29180.57,7698107,2,0.00379061631645286,treat_2017,2017,FALSE,FALSE
CC17A49A3D2D52F3D8C1CEB869CCA5096C549CFAE3A0D6CB09EA694C2F81F81F,2351,B8FDF1A99C14812F711B9B01A2C27EC7B85C6A71A20AB98121F00747A42E5B58,0.000103038803811996,1EB11C8C03D563589A1E83AF2856341DABF421EDF816A205EC6A0E9C90EACF10,0,0.000103038803811996,5573101.07,102020318,2,0.0546273642275846,treat_2017,2017,TRUE,FALSE
CC17A49A3D2D52F3D8C1CEB869CCA5096C549CFAE3A0D6CB09EA694C2F81F81F,2399,F66DA2500C4DF14CC40C77CC8DC9C43E103B59B4FA2FD549F42C9994DEE4C457,0.000171705462263179,6F4F34531538E252D3211A55D02B168CB91CBC9221FA038D0D1B034D977BEF84,0,0.000171705462263179,4308248.48,102020318,2,0.0422293182814819,treat_2017,2017,TRUE,FALSE
CC17A49A3D2D52F3D8C1CEB869CCA5096C549CFAE3A0D6CB09EA694C2F81F81F,4211,BD82BA2061C72EB2FDFC34AD831B7A0E33C57B6587E1D690B5308EB60182A371,1.04491078317667e-05,E14B333E63B5525E292C27BD674CC465CFBEF8BC5ECBC8532E54CEAC6E89FB40,0,1.04491078317667e-05,4274726.6,102020318,2,0.0419007378510622,treat_2017,2017,TRUE,FALSE
