"h","gamma","se","n","t_stat","lo95","hi95","beta","beta_se","beta_lo95","beta_hi95"
22,0.0537282014614943,0.0525289522230928,12328,1.022830252416,-0.0492285448957677,0.156684947818756,4.18843996118339,4.0949511918424,-3.83766437482773,12.2145442971945
23,0.0696104799786315,0.052025098666515,12194,1.33801726018513,-0.032358713407738,0.171579673365001,5.42656013283098,4.05567274377324,-2.52255844496457,13.3756787106265
24,0.0586324817915271,0.0504431986673847,12060,1.16234662631411,-0.0402361875965469,0.157501151179601,4.57075843000234,3.9323540211895,-3.13665545152907,12.2781723115338
25,0.0750952679970765,0.0511619708315078,11926,1.46779466812153,-0.0251821948326788,0.175372730826832,5.85413270533815,3.98838668138113,-1.96310519016886,13.6713706008452
26,0.0858955005666657,0.0609415806057756,11792,1.40947280514948,-0.0335499974206545,0.205340998553986,6.69607649750029,4.75076672145522,-2.61542627655194,16.0075792715525
27,0.0990724130135427,0.0694588439354896,11658,1.42634699053668,-0.0370669211000169,0.235211747127102,7.72329693585924,5.41473918134973,-2.88959185958622,18.3361857313047
28,0.100052453982568,0.0601296450921666,11524,1.66394552685631,-0.0178016503980782,0.217906558363215,7.79969708785774,4.68747141175569,-1.38774687918342,16.9871410548989
29,0.0837546352982333,0.0532638241315433,11390,1.5724487804591,-0.0206424599995915,0.188151730596058,6.52918303377179,4.15223892498774,-1.60920525920419,14.6675713267478
30,0.0988552458611757,0.0564847845004151,11256,1.7501216785283,-0.011854931759638,0.209565423481989,7.7063674359972,4.40333236856856,-0.924164006397189,16.3368988783916
31,0.0934212567045757,0.0591302385872383,11122,1.57992355411767,-0.0224740109264115,0.209316524335563,7.28275494361827,4.60956159849481,-1.75198578943156,16.3174956766681
32,0.0903263840846925,0.0590185529826824,10988,1.53047439355548,-0.0253499797613649,0.20600274793075,7.04149080666068,4.60085502659241,-1.97618504546044,16.0591666587818
33,0.134800499566204,0.0556622751294224,10854,2.42175691260867,0.0257024403125363,0.243898558819872,10.5085185026194,4.33921276239893,2.00366148831746,19.0133755169213
34,0.128792817292053,0.0537509997982218,10720,2.39610086836587,0.0234408576875385,0.234144776896568,10.0401831437821,4.19021723014085,1.82735737270608,18.2530089148582
35,0.122881499934953,0.0529620297865527,10586,2.32018108879492,0.0190759215533096,0.226687078316596,9.57936001610942,4.12871222094343,1.4870840630603,17.6716359691585
36,0.114976437833184,0.0630937050889912,10452,1.82231234749986,-0.00868722414123907,0.238640099807607,8.9631123640004,4.91853790942997,-0.677221938482338,18.6034466664831
