cut,version,treat_year,year,supplier_role,mean_share,n_cells,ci_lo,ci_hi
Top quartile by NACE4d input share,treat_2008,2008,2006,top,0.369463576498386,55,0.255154752977468,0.483735272146868
Top quartile by NACE4d input share,treat_2008,2008,2007,top,0.447726504478518,57,0.334436547352072,0.560879372686298
Top quartile by NACE4d input share,treat_2008,2008,2008,top,0.452104764227107,55,0.32380923119487,0.569351126147315
Top quartile by NACE4d input share,treat_2008,2008,2009,top,0.395239496844385,52,0.267062262826016,0.51118003207159
Top quartile by NACE4d input share,treat_2008,2008,2010,top,0.407395587701621,46,0.279300110867156,0.543418686464762
Top quartile by NACE4d input share,treat_2008,2008,2011,top,0.381582317030642,48,0.248671557775667,0.514704610815905
Top quartile by NACE4d input share,treat_2008,2008,2012,top,0.394419058340485,47,0.264561376688262,0.522518455908269
Top quartile by NACE4d input share,treat_2008,2008,2013,top,0.391344687288227,46,0.279307654893529,0.521464293264157
Top quartile by NACE4d input share,treat_2008,2008,2014,top,0.426359473369683,46,0.294984730432541,0.545745619016511
Top quartile by NACE4d input share,treat_2008,2008,2015,top,0.425901249028952,47,0.307532757833704,0.561267220819742
Top quartile by NACE4d input share,treat_2008,2008,2016,top,0.451443889140421,46,0.3150304148094,0.58575674646848
Top quartile by NACE4d input share,treat_2008,2008,2017,top,0.415674708081439,43,0.288732549287056,0.561300858209044
Top quartile by NACE4d input share,treat_2008,2008,2018,top,0.463972175287136,41,0.309414463672776,0.606707693746456
Top quartile by NACE4d input share,treat_2008,2008,2019,top,0.47528926504787,41,0.335819717915377,0.624975412294975
Top quartile by NACE4d input share,treat_2008,2008,2020,top,0.425346756805749,40,0.287805541077455,0.55821319977129
Top quartile by NACE4d input share,treat_2008,2008,2021,top,0.444220523461545,38,0.296065096850288,0.596772227560171
Top quartile by NACE4d input share,treat_2008,2008,2022,top,0.430710759510392,37,0.282476185805204,0.575885364481695
Top quartile by NACE4d input share,treat_2013,2013,2005,bot,0.205982918826812,13,0.0452220896944814,0.414015782015827
Top quartile by NACE4d input share,treat_2013,2013,2006,bot,0.24992892142007,12,0.038386706312289,0.489673492173965
Top quartile by NACE4d input share,treat_2013,2013,2007,bot,0.262077961241206,12,0.0436121082452001,0.504525778528089
Top quartile by NACE4d input share,treat_2013,2013,2008,bot,0.212022465540709,15,0.0219544285868052,0.412022465540709
Top quartile by NACE4d input share,treat_2013,2013,2009,bot,0.2330438266722,15,0.0543657922606651,0.42569104044257
Top quartile by NACE4d input share,treat_2013,2013,2010,bot,0.213835843715296,15,0.0559663814948179,0.381557717194822
Top quartile by NACE4d input share,treat_2013,2013,2011,bot,0.245045969292037,15,0.0796902047451946,0.459536852710293
Top quartile by NACE4d input share,treat_2013,2013,2012,bot,0.357053144478523,14,0.14982842879608,0.588113936809031
