buyer,seller_nace4d,n_suppliers,total_sales_in_interval,interval
A2D0C13790C3E409C825E25214303B2E0AB0A1071E3E1997C5F73FCE2D5E2BDC,1062,1,572,interval_2006_07
4171043189D4A62A186820C606F6228B693F2EF94981C574A91250CE65602924,1062,1,32702.3999023438,interval_2006_07
EA1B2625F236F386C8047A4FF05EEFA589BC2737825902CB44BC003C61070512,1062,1,79640.9196777344,interval_2006_07
1CDD3949780E507B3C68AD9584181968A08B77EDBC68C66BF8244747F64C7E5D,1062,1,33991.25,interval_2006_07
52B1C2E21C26CA36EBDBE57AD04719B3655CAA2C95F9A8BBD9501644C81735FB,1062,1,42072,interval_2006_07
6128C0DFAFC56AC2414FBC610D2193F7900462FAC2670A5C54A57A9FCEB119EA,1062,1,4035.92004394531,interval_2006_07
1A197756250775389BD4ECBD644856B19F0024EE36CFDF5AB1599882260983EE,1062,1,7727.93994140625,interval_2006_07
1F483A266A23939DCB5E89BFE3287E0B0F92AA045D5C0D5A6EE2A55246D81416,1062,1,8611.5,interval_2006_07
DDC3B17A34F8667CED6703241DF97230AA7CD2C10353F540926E2D4BFC42DDE5,1062,1,16233.2100830078,interval_2006_07
5710623BA6FDD88B45EBF8AB2D79EBDCAEEEB0E8264C3943F22E7901A6FA1B55,1062,1,1177.47998046875,interval_2006_07
1FF4BE36DA23ED1089F771723A6F25ACE00CFA2E444FBEB5B9881B54FB91D596,1062,1,6728.09997558594,interval_2006_07
FBBAE30BA91C2815D3C929046574BC83F9154905DFEE1D10C9A413585C9CB50A,1062,1,1291.90002441406,interval_2006_07
24EC9B9D0111DCD6D335B5F1A858B1F4086C18CB005053FE84A5F27D5EA4B086,1062,1,1530,interval_2006_07
AE14860931C06B0EAA7157F627CEC0A28EFA3E829536FE3DFBE526BA267F9925,1062,1,398.079986572266,interval_2006_07
876954D4F99EFA2A00372F268DC326F87155A71623FBF35CCB7EA0F9B4ECFA19,1062,1,464,interval_2006_07
2EA5AB1710B2C07A0559C4D607230AEE3A896C7A33156792015D2C79268E4D7A,1062,1,6037.5,interval_2006_07
67C71A34BC9C2E1ADF135CC03967BAB6FB12315731A70EAC4EB4794C325ACFF0,1062,1,289,interval_2006_07
F5F92B511203D7F36565940ADA24F7A0D9067E443A1D3F536E9B2CE4437BD67D,1062,1,1380,interval_2006_07
1276579C555CA329B415C3176E9C04576A93D36FF58F9EBEC89147B392552DB8,1062,1,8000,interval_2006_07
2DEA0A85019750F6DE07A74AD80829C0FF1923D16B120445436C744CFE479443,1062,1,4570.47998046875,interval_2006_07
B95A8BE96B22E6B92456B1D18400E95C26670C8E0820035E5A842162D7CD3788,1062,1,538.200012207031,interval_2006_07
D192DDE8580A23934849226460762419C2A29C026445388AEC31D2F6CFE1DEE5,1062,1,558,interval_2006_07
62812B6D7C865F07118D6B981B7299CB5FCF1ACCC8210094C941AB92D0D8BF24,1062,1,552,interval_2006_07
66DFBAD9F31D5C4722F8A8DF3D5ED4C14F8F732BF912F2634CB1A76014BDBFED,1062,1,877.5,interval_2006_07
40018088DE4E304F5F91F5CD33735179EBB957B283493EF46840FB0B7AC2EEAD,1062,1,2088,interval_2006_07
91738BC31E8682337A567C344417306B4025B0A737D605FC612A6F338F21D854,1062,1,1453,interval_2006_07
6D12DCD984C00F3627819FCA074C9D0E638DB59A9142130ECAF2B424385619D6,1062,1,4267.2001953125,interval_2006_07
FAB184F2A66201BE023118AA56ABB6836C4D9A15CC8171A8338010D991AF8772,1062,1,605,interval_2006_07
AAEE7A0BCBE72A758DECD010C6BB77D07962734CC24B10ED40C403CDE97D5EB3,1062,1,51744.62890625,interval_2006_07
D120A82A4B565FE2AE9CB4CE0495E4181E8F058F986F9BAC9CB49D75B4D4AB57,2561,1,425.899993896484,interval_2006_07
