"h","gamma","se","n","t_stat","lo95","hi95","R","R_se","n_R","gamma_lo68","gamma_hi68","gamma_lo90","gamma_hi90","gamma_lo95","gamma_hi95","R_lo68","R_hi68","R_lo90","R_hi90","R_lo95","R_hi95","beta","beta_se","beta_lo68","beta_hi68","beta_lo90","beta_hi90","beta_lo95","beta_hi95"
10,0.145950220128105,1.3347504854162,9112,0.109346444689695,-2.47016073128764,2.76206117154385,0.036836680380061,0.0768522755425797,68,-1.18880026528809,1.4807007055443,-2.04971432838154,2.34161476863775,-2.47016073128764,2.76206117154385,-0.0400155951625187,0.113688955922641,-0.0895853128874826,0.163258673647605,-0.113793779683395,0.187467140443517,0.128287042027218,1.17385559283423,-1.04556855080701,1.30214263486145,-1.80270540818509,2.05927949223953,-2.17246991992787,2.42904400398231
11,-0.210182466539894,1.52564854838361,8978,-0.137765979433846,-3.20045362137177,2.78008868829199,0.0382472304853502,0.0843935279985878,67,-1.73583101492351,1.31546608184372,-2.71987432863094,2.29950939555115,-3.20045362137177,2.78008868829199,-0.0461462975132376,0.122640758483938,-0.100580123072327,0.177074584043027,-0.127164084391882,0.203658545362582,-0.184745777668035,1.34217116658383,-1.52691694425187,1.1574253889158,-2.39261734669844,2.02312579136237,-2.81540126417234,2.44590970883628
12,-0.273310350114444,1.46978132065705,8844,-0.185953070891025,-3.15408173860225,2.60746103837337,0.0606044788812654,0.0938219109712563,66,-1.74309167077149,1.1964709705426,-2.69110062259528,2.1444799223664,-3.15408173860225,2.60746103837337,-0.0332174320899909,0.154426389852522,-0.0937325646664512,0.214941522428982,-0.123286466622397,0.244495424384928,-0.240233802599476,1.29394004867435,-1.53417385127383,1.05370624607488,-2.36876518266879,1.88829757746984,-2.77635629800121,2.29588869280226
13,-0.0904364039920469,1.38800568603597,8710,-0.0651556437425884,-2.81092754862256,2.63005474063846,0.108936532959829,0.104314262291457,65,-1.47844209002802,1.29756928204393,-2.37370575752122,2.19283294953713,-2.81092754862256,2.63005474063846,0.00462227066837144,0.213250795251286,-0.0626604285096185,0.280533494429276,-0.0955194211314276,0.313392487051085,-0.0794916153571736,1.22026259683282,-1.29975421218999,1.14077098147565,-2.08682358714716,1.92784035643282,-2.4712063051495,2.31222307443515
14,-0.309628372581402,1.33274109815268,8576,-0.232324472480499,-2.92180092496064,2.30254417979784,0.133493636455422,0.109878490594266,64,-1.64236947073408,1.02311272557127,-2.50198747904255,1.88273073387975,-2.92180092496064,2.30254417979784,0.0236151458611553,0.243372127049688,-0.0472564805721465,0.31424375348299,-0.0818682051093405,0.348855478020184,-0.272156547700337,1.17432854563804,-1.44648509333838,0.902171997937707,-2.20392700527492,1.65961390987424,-2.5738404971509,2.02952740175023
15,0.0861916391774294,1.32965269652985,8442,0.0648226709142726,-2.51992764602107,2.69231092437593,0.132201659396766,0.117218085728212,63,-1.24346105735242,1.41584433570728,-2.10108704661417,2.27347032496903,-2.51992764602107,2.69231092437593,0.0149835736685539,0.249419745124977,-0.0606220916261427,0.325025410419674,-0.0975457886305294,0.361949107424061,0.075760560195417,1.1689593704733,-1.09319881027788,1.24471993066871,-1.84717760423316,1.99869872462399,-2.21539980593224,2.36692092632308
16,-0.170874838884784,0.999165432731469,8308,-0.171017564546498,-2.12923908703846,1.7874894092689,0.129403924064952,0.119617341620617,62,-1.17004027161625,0.828290593846685,-1.81450197572805,1.47275229795848,-2.12923908703846,1.7874894092689,0.00978658244433553,0.249021265685569,-0.0673666029009622,0.326174451030867,-0.105046065511456,0.363853913641361,-0.150195235184747,0.879414459516894,-1.02960969470164,0.729219224332148,-1.59683202109004,1.29644155072054,-1.87384757583786,1.57345710546837
17,0.181335950942684,1.31145062946634,8174,0.138271275233954,-2.38910728281135,2.75177918469672,0.153837305897611,0.118958273498616,61,-1.13011467852366,1.49278658040903,-1.97600033452945,2.33867223641482,-2.38910728281135,2.75177918469672,0.0348790323989956,0.272795579396227,-0.0418490540076117,0.349523665802835,-0.0793209101596757,0.386995521954899,0.159390323215757,1.15374041678753,-0.994350093571771,1.31313074000328,-1.73851266239973,2.05729330883124,-2.1019408936878,2.42072154011931
18,0.400861018668305,1.49418434425608,8040,0.268280831752312,-2.52774029607362,3.32946233341023,0.152666445369189,0.123729638859257,60,-1.09332332558778,1.89504536292439,-2.05707222763295,2.85879426496956,-2.52774029607362,3.32946233341023,0.0289368065099323,0.276396084228446,-0.0508688105542884,0.356201701292667,-0.0898436467949544,0.395176537533333,0.352348042393061,1.31765671089845,-0.965308668505386,1.67000475329151,-1.81519724703488,2.51989333182101,-2.23025911096789,2.93495519575402
19,0.629880216144307,1.46088864076387,7906,0.431162375124605,-2.23346151975288,3.4932219520415,0.132461393748992,0.133568702844695,59,-0.831008424619564,2.09076885690818,-1.77328159791226,3.03304203020088,-2.23346151975288,3.4932219520415,-0.00110730909570306,0.266030096593688,-0.0872591224305315,0.352181909928516,-0.129333263826611,0.394256051324595,0.553650893364135,1.29492365494246,-0.741272761578321,1.84857454830659,-1.5764985190162,2.68380030574448,-1.98439947032308,3.09170125705135
