year,exp_q,mean_share_eu,se_share_eu,n,ci_lo,ci_hi
2016,Q3,0.867477185193776,0.0195526661556212,161,0.829153959528758,0.905800410858793
2006,Q2,0.627348468955601,0.0352729716820955,126,0.558213444458693,0.696483493452508
2007,Q2,0.632177898675813,0.0335745285959308,136,0.566371822627789,0.697983974723837
2008,Q2,0.594628290326432,0.0324598477330682,152,0.531006988769618,0.658249591883246
2000,Q1 (least EU),0,0,107,0,0
2018,Q1 (least EU),0.355336845654951,0.0375625133900514,138,0.28171431941045,0.428959371899452
2005,Q1 (least EU),0.470397519611046,0.0380714040217489,137,0.395777567728418,0.545017471493674
2012,Q1 (least EU),0.164429528140721,0.0217378089561876,201,0.121823422586593,0.207035633694849
2015,Q1 (least EU),0.299561283491943,0.0300443400799621,186,0.240674376935217,0.358448190048669
2016,Q1 (least EU),0.292954398583062,0.0310394156780639,164,0.232117143854057,0.353791653312068
2017,Q1 (least EU),0.328806687877734,0.0352367053561187,143,0.259742745379741,0.397870630375726
2001,Q1 (least EU),0,0,108,0,0
2002,Q1 (least EU),0,0,119,0,0
2003,Q1 (least EU),0,0,122,0,0
2004,Q1 (least EU),0,0,126,0,0
