hs6,bec4,bec_description,is_capital
291734,22,Processed,FALSE
291735,22,Processed,FALSE
291736,22,Processed,FALSE
291737,22,Processed,FALSE
291739,22,Processed,FALSE
291811,22,Processed,FALSE
291812,22,Processed,FALSE
291813,22,Processed,FALSE
291814,22,Processed,FALSE
291815,22,Processed,FALSE
291816,22,Processed,FALSE
291818,22,Processed,FALSE
291819,22,Processed,FALSE
291821,22,Processed,FALSE
291822,22,Processed,FALSE
291823,22,Processed,FALSE
291829,22,Processed,FALSE
291830,22,Processed,FALSE
291891,22,Processed,FALSE
291899,22,Processed,FALSE
291910,22,Processed,FALSE
291990,22,Processed,FALSE
292011,22,Processed,FALSE
292019,22,Processed,FALSE
292090,22,Processed,FALSE
292111,22,Processed,FALSE
292119,22,Processed,FALSE
292121,22,Processed,FALSE
292122,22,Processed,FALSE
292129,22,Processed,FALSE
292130,22,Processed,FALSE
292141,22,Processed,FALSE
292142,22,Processed,FALSE
292143,22,Processed,FALSE
292144,22,Processed,FALSE
292145,22,Processed,FALSE
292146,22,Processed,FALSE
292149,22,Processed,FALSE
292151,22,Processed,FALSE
292159,22,Processed,FALSE
292211,22,Processed,FALSE
292212,22,Processed,FALSE
292213,22,Processed,FALSE
292214,22,Processed,FALSE
292219,22,Processed,FALSE
292221,22,Processed,FALSE
292229,22,Processed,FALSE
292231,22,Processed,FALSE
292239,22,Processed,FALSE
292241,22,Processed,FALSE
292242,22,Processed,FALSE
292243,22,Processed,FALSE
292244,22,Processed,FALSE
292249,22,Processed,FALSE
292250,22,Processed,FALSE
292310,22,Processed,FALSE
292320,22,Processed,FALSE
292390,22,Processed,FALSE
292411,22,Processed,FALSE
292412,22,Processed,FALSE
292419,22,Processed,FALSE
292421,22,Processed,FALSE
292423,22,Processed,FALSE
292424,22,Processed,FALSE
292429,22,Processed,FALSE
292511,22,Processed,FALSE
292512,22,Processed,FALSE
292519,22,Processed,FALSE
292521,22,Processed,FALSE
292529,22,Processed,FALSE
292610,22,Processed,FALSE
292620,22,Processed,FALSE
292630,22,Processed,FALSE
292690,22,Processed,FALSE
292700,22,Processed,FALSE
292800,22,Processed,FALSE
292910,22,Processed,FALSE
292990,22,Processed,FALSE
293020,22,Processed,FALSE
293030,22,Processed,FALSE
293040,22,Processed,FALSE
293050,22,Processed,FALSE
293090,22,Processed,FALSE
293100,22,Processed,FALSE
293211,22,Processed,FALSE
293212,22,Processed,FALSE
293213,22,Processed,FALSE
293219,22,Processed,FALSE
293221,22,Processed,FALSE
293229,22,Processed,FALSE
293291,22,Processed,FALSE
293292,22,Processed,FALSE
