interval,seller_nace4d,n_cells,mean_n_supp,p10_n_supp,p25_n_supp,median_n_supp,p75_n_supp,p90_n_supp,p99_n_supp,max_n_supp,share_eq_1,share_eq_2,share_3_to_5,share_6_to_10,share_ge_11,share_ge_2
interval_2006_07,1083,9580,1.10020876826722,1,1,1,1,1,3,9,0.927244258872651,0.0578288100208768,0.0133611691022965,0.00156576200417537,0,0.0727557411273487
interval_2006_07,1105,8877,1.62836543877436,1,1,1,1,2,15,48,0.855018587360595,0.0726596823251098,0.033006646389546,0.0210656753407683,0.0182494085839811,0.144981412639405
interval_2006_07,8211,8650,1.12959537572254,1,1,1,1,1,3,10,0.906936416184971,0.072485549132948,0.0184971098265896,0.00208092485549133,0,0.0930635838150289
interval_2006_07,2221,8376,1.2470152817574,1,1,1,1,2,4,10,0.833452722063037,0.119746895893028,0.0433381088825215,0.00346227316141356,0,0.166547277936963
interval_2006_07,2223,7959,1.4500565397663,1,1,1,2,3,5,9,0.743560748837794,0.144867445659002,0.104410101771579,0.00716170373162458,0,0.256439251162206
interval_2006_07,2059,7514,1.39672611125898,1,1,1,1,2,5,11,0.772957146659569,0.136678200692042,0.0810487090763907,0.00904977375565611,0.000266169816342827,0.227042853340431
interval_2006_07,5210,7195,1.29645587213343,1,1,1,1,2,5,16,0.831271716469771,0.10993745656706,0.0490618485059069,0.00917303683113273,0.000555941626129256,0.168728283530229
interval_2006_07,1013,7018,2.04645198062126,1,1,1,2,3,20,74,0.722855514391565,0.138643488173269,0.08520946138501,0.030208036477629,0.0230834995725278,0.277144485608436
interval_2006_07,1920,6655,1.03215627347859,1,1,1,1,1,2,5,0.973403456048084,0.0222389181066867,0.00435762584522915,0,0,0.0265965439519159
interval_2006_07,1082,6467,1.76975413638472,1,1,1,1,3,15.3400000000001,62,0.763568888201639,0.125251275707438,0.0706664604917272,0.0247409927323334,0.0157723828668625,0.236431111798361
interval_2006_07,2219,6206,1.36915887850467,1,1,1,1,2,5,15,0.777312278440219,0.147599097647438,0.0655816951337415,0.0088623912342894,0.000644537544311956,0.222687721559781
interval_2006_07,2550,5925,1.26345991561181,1,1,1,1,2,4,11,0.818902953586498,0.128270042194093,0.050126582278481,0.00253164556962025,0.000168776371308017,0.181097046413502
interval_2006_07,2312,5824,1.3174793956044,1,1,1,1,2,5,15,0.810096153846154,0.127918956043956,0.0528846153846154,0.00841346153846154,0.000686813186813187,0.189903846153846
interval_2006_07,1629,5731,1.13906822544059,1,1,1,1,2,3,7,0.883789914500087,0.0977141860059326,0.0181469202582446,0.000348979235735474,0,0.116210085499913
interval_2006_07,2521,5522,1.20300615718942,1,1,1,1,2,4,11,0.863636363636364,0.0983339369793553,0.0354943860919957,0.00235421948569359,0.000181093806591815,0.136363636363636
interval_2006_07,2222,5522,1.33049619703006,1,1,1,1,2,5,14,0.805324157913799,0.120970662803332,0.0679101774719305,0.00543281419775444,0.000362187613183629,0.194675842086201
interval_2006_07,2932,5264,1.23024316109422,1,1,1,1,2,4,16,0.838525835866262,0.121770516717325,0.0364741641337386,0.00265957446808511,0.000569908814589666,0.161474164133739
interval_2006_07,2812,5200,1.50019230769231,1,1,1,2,3,7,16,0.739807692307692,0.150576923076923,0.0917307692307692,0.0161538461538462,0.00173076923076923,0.260192307692308
interval_2006_07,4311,4896,1.44260620915033,1,1,1,1,2,7,16,0.780024509803922,0.125612745098039,0.0759803921568627,0.0163398692810458,0.00204248366013072,0.219975490196078
interval_2006_07,6820,4625,1.11437837837838,1,1,1,1,1,3,10,0.917405405405405,0.0661621621621622,0.0144864864864865,0.00194594594594595,0,0.0825945945945946
interval_2006_07,2434,4228,1.19985808893094,1,1,1,1,2,4,7,0.853358561967833,0.110454115421003,0.0347682119205298,0.00141911069063387,0,0.146641438032167
interval_2006_07,2830,4127,1.43106372667797,1,1,1,1,2,7,19,0.774897019626848,0.132057184395445,0.0755997092318876,0.0172037799854616,0.000242306760358614,0.225102980373152
interval_2006_07,2530,4114,1.51507049100632,1,1,1,1,3,8,25,0.760087506076811,0.137578998541565,0.0799708313077297,0.0179873602333495,0.00437530384054448,0.239912493923189
interval_2006_07,2016,4057,1.16982992358886,1,1,1,1,2,3,8,0.866650234163175,0.107961547941829,0.0241557801331033,0.00123243776189302,0,0.133349765836825
interval_2006_07,2120,3628,4.16427783902977,1,1,4,6,8,11,31,0.272877618522602,0.105016538037486,0.294652701212789,0.315325248070562,0.0121278941565601,0.727122381477398
interval_2006_07,3312,3572,1.20212765957447,1,1,1,1,2,4,9,0.862262038073908,0.100783874580067,0.0333146696528555,0.00363941769316909,0,0.137737961926092
interval_2006_07,1330,3470,1.29971181556196,1,1,1,1,2,6,13,0.84149855907781,0.1,0.0446685878962536,0.0129682997118156,0.000864553314121038,0.15850144092219
interval_2006_07,1712,3309,1.15744938047749,1,1,1,1,2,3,7,0.885463886370505,0.0846177092777274,0.029011786038078,0.000906618313689937,0,0.114536113629495
interval_2006_07,1320,3109,1.65905435831457,1,1,1,2,3,8,13,0.725313605660984,0.12930202637504,0.107430041814088,0.0344162110003217,0.00353811514956578,0.274686394339016
interval_2006_07,1621,2998,1.79019346230821,1,1,1,2,4,10,20,0.733488992661775,0.11440960640427,0.0950633755837225,0.0476984656437625,0.00933955970647098,0.266511007338226
interval_2006_07,1061,2735,1.74808043875686,1,1,1,2,3,6,17,0.580255941499086,0.23436928702011,0.171480804387569,0.0120658135283364,0.00182815356489945,0.419744058500914
interval_2006_07,2892,2704,1.19896449704142,1,1,1,1,2,4,7,0.853550295857988,0.11094674556213,0.0340236686390533,0.0014792899408284,0,0.146449704142012
interval_2006_07,7010,2606,1.0199539524175,1,1,1,1,1,2,3,0.981580966999233,0.0168841135840368,0.00153491941673062,0,0,0.0184190330007675
